,STAID,STANAME,COMID,distance,DRAIN_SQKM,flowline_drainage_area,area_difference_pct,match_quality,quality_rank
15,4152050,Gage_68,77032221,0.0008666666667025424,618715.0,618903.7917897449,0.030513530421092783,excellent,0
12,4127503,Gage_65,74036826,0.0006333333332690928,1805230.0,1789711.4931403357,0.8596415337471868,excellent,0
11,4127502,Gage_64,74045105,0.00054211519898295,1835274.0,1818953.314177747,0.8892778856047171,excellent,0
13,4127800,Gage_66,74069844,0.0006128258770486849,2964255.0,2937501.848660141,0.9025253002814796,excellent,0
6,4122901,Gage_59,74036915,0.0007666666665997467,1296813.0,1282949.2114655664,1.069066128611726,excellent,0
5,4122900,Gage_58,74036886,9.428090413119037e-05,1357678.0,1339481.039872017,1.3403001395016352,excellent,0
3,4121801,Gage_56,74028940,0.0008333333332757321,846305.8,824470.9784833828,2.580015582620041,excellent,0
9,4123050,Gage_62,74045132,0.0026000000000578898,525770.0,526009.3023891357,0.045514652630561016,good,1
10,4127501,Gage_63,74045092,0.00266666666674098,1847188.0,1831491.1818662474,0.849768303700141,good,1
7,4122902,Gage_60,74036951,0.0012492219800975095,1253819.0,1240211.5727395508,1.0852784381516913,good,1
2,4121800,Gage_55,74022423,0.0011318617898285347,723905.0,715313.6692076697,1.1868036264883268,good,1
8,4122903,Gage_61,74028912,0.0013666666666267702,1084844.8,1063917.4576556282,1.9290632488971542,good,1
4,4122650,Gage_57,74028928,0.0010666666666026003,1072153.8,1051214.1329378458,1.9530469473833207,good,1
22,4352100,Gage_79,77032218,0.0011785113019664587,631960.0,619064.7103650401,2.040523076612426,good,1
1,4115201,Gage_54,78017389,0.0018333333333089288,665371.0,651615.1869219299,2.0673899340473296,good,1
0,4115200,Gage_53,78019675,0.0023000000000621412,613830.0,601052.907269433,2.0815360491613273,good,1
